syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p,time
True,False,True,QueryEvaluationTest,data-r2,basic,term-7,True,True,False,False,False,,False,,,4
True,False,False,PositiveSyntaxTest,data-r2,syntax-sparql1,syntax-lit-08,True,True,False,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-err-01,True,True,False,False,False,,False,,,3
True,False,True,QueryEvaluationTest,data-sparql11,negation,temporal-proximity-by-exclusion-minus-1,True,True,False,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp04,True,True,False,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp05,True,True,False,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp13,True,True,False,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp15,True,True,False,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp20,True,True,False,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp22,True,True,False,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp24,True,True,False,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp26,True,True,False,False,False,,False,,,6
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp27,True,True,False,False,False,,False,,,5
True,False,True,QueryEvaluationTest,data-sparql11,property-path,pp29,True,True,False,False,False,,False,,,9
True,False,False,PositiveSyntaxTest11,data-sparql11,syntax-query,test_52,True,True,False,False,False,,False,,,7
True,False,False,PositiveSyntaxTest11,data-sparql11,syntax-query,test_pn_06,True,True,False,False,False,,False,,,6
True,False,False,PositiveSyntaxTest11,data-sparql11,syntax-query,test_pn_07,True,True,False,False,False,,False,,,7
