syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,cast,cast-flt,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,cast,cast-dbl,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,cast,cast-dec,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,cast,cast-dT,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,cast,cast-bool,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-1,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-2,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-3,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-4,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-basic,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-001,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-002,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-003,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-004,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-err-02,True,False,True,True,True,SELECT,False,False,
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-05a,True,False,True,True,True,MODIFY,False,False,
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-data-same-bnode,True,False,True,True,True,MODIFY,False,False,
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-where-same-bnode,True,False,True,True,True,MODIFY,False,False,
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-where-same-bnode2,True,False,True,True,True,MODIFY,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,strdt01,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,strdt02,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,strlang01,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,strlang02,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,md5-01,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,md5-02,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha1-01,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha1-02,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha256-01,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha256-02,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha512-01,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha512-02,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,replace01,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,replace02,True,False,True,True,True,SELECT,False,False,
True,False,True,QueryEvaluationTest,data-sparql11,functions,replace03,True,False,True,True,True,SELECT,False,False,
