syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,algebra,join-combo-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,opt-filter-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-nested-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,join-scope-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,basic,bgp-no-match,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,basic,term-6,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,bnode-coreference,dawg-bnode-coref-001,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,bound,dawg-bound-query-001,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,construct,construct-5,True,True,True,True,True,CONSTRUCT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-01,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-02,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-03,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-04,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-05,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-06,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-07,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-08,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-09,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-09b,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-10,True,True,True,True,True,SELECT,False,True,False
