syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,algebra,join-combo-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,join-combo-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,nested-opt-1,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,nested-opt-2,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,opt-filter-1,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,opt-filter-2,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,opt-filter-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-place-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-place-2,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-place-3,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-nested-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-nested-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-scope-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,join-scope-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,ask,ask-1,False,True,True,True,True,ASK,False,True,True
True,False,True,QueryEvaluationTest,data-r2,ask,ask-4,False,True,True,True,True,ASK,False,True,True
True,False,True,QueryEvaluationTest,data-r2,ask,ask-7,False,True,True,True,True,ASK,False,True,True
True,False,True,QueryEvaluationTest,data-r2,ask,ask-8,False,True,True,True,True,ASK,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,bgp-no-match,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,basic,prefix-name-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,spoo-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,base-prefix-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,base-prefix-2,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,base-prefix-3,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,base-prefix-4,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,base-prefix-5,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,list-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,list-2,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,list-3,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,list-4,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,quotes-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,quotes-2,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,quotes-3,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,quotes-4,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,term-1,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,term-2,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,term-3,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,term-4,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,term-5,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,term-6,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,basic,term-7,True,True,False,False,False,,False,,
True,False,True,QueryEvaluationTest,data-r2,basic,term-8,False,True,True,True,True,SELECT,False,True,True
True,False,True,QueryEvaluationTest,data-r2,basic,term-9,False,True,True,True,True,SELECT,False,True,True
