syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql3,blabel-cross-graph-bad,True,True,True,True,True,ASK,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql3,blabel-cross-optional-bad,True,True,True,True,True,ASK,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql3,blabel-cross-union-bad,True,True,True,True,True,ASK,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-34,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-35,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-36,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-37,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-38,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-OPT-breaks-BGP,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-UNION-breaks-BGP,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest,data-r2,syntax-sparql4,syn-bad-GRAPH-breaks-BGP,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeSyntaxTest11,data-sparql11,syntax-query,test_65,True,True,True,True,True,SELECT,False,,
True,True,False,NegativeUpdateSyntaxTest11,data-sparql11,syntax-update-1,test_54,True,True,True,True,True,MODIFY,False,,
