syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p,time
True,False,True,UpdateEvaluationTest,data-sparql11,add,add01,True,True,True,False,False,,False,,,12
True,False,True,UpdateEvaluationTest,data-sparql11,add,add02,True,True,True,False,False,,False,,,8
True,False,True,UpdateEvaluationTest,data-sparql11,add,add03,True,True,True,False,False,,False,,,11
True,False,True,UpdateEvaluationTest,data-sparql11,add,add04,True,True,True,False,False,,False,,,9
True,False,True,UpdateEvaluationTest,data-sparql11,add,add05,True,True,True,False,False,,False,,,9
True,False,True,UpdateEvaluationTest,data-sparql11,add,add06,True,True,True,False,False,,False,,,9
True,False,True,UpdateEvaluationTest,data-sparql11,add,add07,True,True,True,False,False,,False,,,8
True,False,True,UpdateEvaluationTest,data-sparql11,add,add08,True,True,True,False,False,,False,,,9
True,False,True,UpdateEvaluationTest,data-sparql11,clear,dawg-clear-default-01,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,clear,dawg-clear-graph-01,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,clear,dawg-clear-named-01,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,clear,dawg-clear-all-01,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,copy,copy01,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,copy,copy02,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,copy,copy03,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,copy,copy04,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,copy,copy06,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,copy,copy07,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,drop,dawg-drop-default-01,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,drop,dawg-drop-graph-01,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,drop,dawg-drop-named-01,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,drop,dawg-drop-all-01,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,move,move01,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,move,move02,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,move,move03,True,True,True,False,False,,False,,,6
True,False,True,UpdateEvaluationTest,data-sparql11,move,move04,True,True,True,False,False,,False,,,5
