syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-01,False,True,True,True,True,MODIFY,False,,
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-01b,False,True,True,True,True,MODIFY,False,,
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-01c,False,True,True,True,True,MODIFY,False,,
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-02,False,True,True,True,True,MODIFY,False,,
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-04,False,True,True,True,True,MODIFY,False,,
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-04b,False,True,True,True,True,MODIFY,False,,
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-05b,False,True,True,True,True,MODIFY,False,,
True,False,True,UpdateEvaluationTest,data-sparql11,delete-insert,dawg-delete-insert-06b,False,True,True,True,True,MODIFY,False,,
True,False,True,QueryEvaluationTest,data-sparql11,service,service1,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,service,service4a,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,service,service5,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,service,service7,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,subquery,subquery04,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,subquery,subquery06,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,subquery,subquery08,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,subquery,subquery09,False,True,True,True,True,SELECT,False,,
True,False,True,QueryEvaluationTest,data-sparql11,subquery,subquery10,False,True,True,True,True,SELECT,False,,
